Label	logFC	FDR
 CCDC42 	-0.014172	1.20E-01
 CCDC43 	0.2397796	3.90E-05
 CCDC45 	0.2611177	2.91E-06
 CCDC46 	0.0142697	2.77E-01
 CCDC47 	0.3092903	4.28E-03
 CCDC48 	-0.1246675	8.13E-04
 CCDC50 	0.2276985	4.10E-03
 CCDC51 	0.6489372	9.19E-09
 CCDC53 	0.2510324	5.09E-02
 CCDC54 	-0.0045684	5.88E-01
 CCDC55 	0.2166312	5.04E-03
 CCDC56 	-0.1370343	3.86E-01
 CCDC57 	0.0403177	8.42E-02
 CCDC59 	0.3376725	2.78E-04
 CCDC6 	0.5059673	1.11E-06
 CCDC60 	-0.0090316	3.15E-01
 CCDC62 	-0.0133885	2.47E-02
 CCDC63 	-0.0099502	1.31E-01
 CCDC64 	-0.0645473	3.33E-01
 CCDC65 	-0.0181366	3.64E-02
 CCDC67 	-0.0064398	2.32E-01
 CCDC68 	0.1101876	3.44E-01
 CCDC69 	-0.1066229	1.90E-01
 CCDC70 	-0.0108517	3.95E-01
 CCDC71 	0.1725162	2.07E-03
 CCDC73 	-0.0032671	5.97E-01
 CCDC75 	0.2062573	4.71E-04
 CCDC76 	0.1516019	3.25E-02
 CCDC77 	0.181915	6.10E-05
 CCDC78 	-0.019418	1.66E-01
 CCDC79 	-0.007953	1.58E-01
 CCDC8 	0.043533	2.72E-01
 CCDC80 	0.983638	1.12E-04
 CCDC81 	0.0017867	7.83E-01
 CCDC82 	0.2852042	3.74E-07
 CCDC83 	-0.007881	1.46E-01
 CCDC84 	0.1120178	1.70E-02
 CCDC85B 	0.1717676	2.45E-03
 CCDC85C 	-0.0024629	9.54E-01
 CCDC86 	0.4300354	1.17E-09
 CCDC87 	-0.0141602	4.00E-01
 CCDC88A 	0.0916171	9.07E-02
 CCDC88B 	-0.057561	1.69E-01
 CCDC88C 	-0.024231	6.96E-01
 CCDC89 	-0.0116914	4.78E-01
 CCDC9 	0.0363219	5.32E-01
 CCDC90A 	0.3429438	1.20E-03
 CCDC90B 	0.0840402	1.01E-01
 CCDC91 	0.0313553	5.00E-01
 CCDC92 	0.1053324	3.76E-02
 CCDC93 	0.4180728	1.84E-08
 CCDC94 	0.0332526	5.97E-01
 CCDC96 	-0.0853046	1.51E-04
 CCDC97 	0.0028601	9.56E-01
 CCDC99 	0.5519828	1.37E-07
 CCHCR1 	0.0653257	2.28E-01
 CCIN 	0.0070302	5.89E-01
 CCK 	-0.1004011	4.57E-03
 CCKAR 	-2.058198	1.41E-08
 CCKBR 	-1.0138205	1.36E-09
 CCL1 	-0.0238809	1.12E-01
 CCL11 	-0.4997951	9.89E-03
 CCL13 	0.2277114	6.38E-02
 CCL14-CCL15 	0.3489803	1.18E-02
 CCL16 	-0.025642	2.37E-02
 CCL17 	-0.0368986	1.16E-01
 CCL18 	1.0974688	2.94E-04
 CCL19 	0.5013965	2.32E-01
 CCL2 	0.4477626	3.14E-02
 CCL20 	1.3791911	5.97E-04
 CCL21 	0.1405841	4.97E-01
 CCL22 	0.0907587	1.04E-01
 CCL23 	0.0138636	3.05E-01
 CCL24 	0.0671048	5.71E-01
 CCL25 	-0.3302468	2.57E-01
 CCL26 	0.0245132	2.04E-01
 CCL27 	-0.0081256	6.14E-01
 CCL28 	-0.13827	4.88E-01
 CCL4 	0.0512309	4.48E-01
 CCL5 	-0.2601818	4.89E-02
 CCL7 	0.005563	6.75E-01
 CCL8 	0.1662937	6.19E-02
 CCM2 	0.2578241	3.19E-05
 CCNA1 	-0.0175506	9.69E-03
 CCNA2 	0.8490928	7.68E-06
 CCNB1 	1.4533358	3.19E-08
 CCNB1IP1 	0.4734558	2.47E-04
 CCNB2 	1.1710718	1.42E-08
 CCNB3 	0.0285937	5.16E-01
 CCNC 	0.2973078	1.25E-02
 CCND1 	0.4258921	1.11E-02
 CCND2 	0.833789	1.50E-03
 CCND3 	0.2791992	8.81E-02
 CCNDBP1 	-0.078807	3.23E-01
 CCNE1 	0.705737	1.36E-04
 CCNE2 	0.1316782	7.11E-03
 CCNF 	0.404117	5.73E-08
 CCNG1 	-0.1850108	2.10E-01
 CCNG2 	0.1178162	2.52E-02
 CCNH 	0.2337236	1.51E-02
 CCNI 	-0.1632363	1.86E-01
 CCNJ 	-0.0055138	8.67E-01
 CCNJL 	-0.3380732	5.80E-08
 CCNK 	0.2933732	2.08E-04
 CCNL1 	0.6151009	5.37E-06
 CCNL2 	0.3714794	7.51E-03
 CCNO 	-0.0450179	5.67E-01
 CCNT1 	0.2823027	5.26E-06
 CCNT2 	0.1487304	4.83E-02
 CCNY 	0.0894231	8.92E-02
 CCNYL1 	-0.002941	9.41E-01
 CCPG1 	-0.3716784	5.19E-04
 CCR1 	0.3077715	1.26E-04
 CCR10 	-0.1916854	5.70E-02
 CCR2 	0.0103016	8.58E-01
 CCR3 	-0.0020708	7.76E-01
 CCR4 	0.0694201	7.28E-02
 CCR6 	0.126999	1.29E-01
 CCR7 	0.0565474	5.87E-01
 CCR9 	-0.0085875	5.52E-01
 CCRL1 	-0.0246867	1.81E-01
 CCRL2 	0.0720494	2.28E-01
 CCRN4L 	-0.009907	7.12E-01
 CCS 	0.0124579	8.89E-01
 CCT2 	1.0869784	5.99E-08
 CCT3 	1.2640944	8.21E-12
 CCT4 	0.7018685	7.54E-07
 CCT5 	1.1159987	1.02E-08
 CCT6A 	1.103585	3.76E-13
 CCT6B 	-0.0038899	8.63E-01
 CCT7 	0.8773763	4.27E-09
 CCT8 	0.0786426	8.81E-02
 CCT8L2 	-0.031999	3.88E-01
 CD101 	0.0091096	6.80E-01
 CD109 	0.0808144	2.58E-04
 CD14 	1.0685968	1.55E-06
 CD151 	1.0148395	8.41E-08
 CD160 	-0.0179757	1.39E-01
 CD163 	0.5640026	1.05E-03
 CD163L1 	0.021642	8.41E-01
 CD164L2 	-0.08945	5.26E-04
 CD177 	0.1279155	2.80E-01
 CD180 	0.0711405	3.11E-01
 CD19 	-0.1184776	5.79E-02
 CD1A 	0.0040156	7.89E-01
 CD1B 	-0.0032432	7.58E-01
 CD1C 	0.1110005	3.38E-01
 CD1D 	-0.0049804	9.09E-01
 CD1E 	0.0115849	8.21E-01
 CD2 	-0.0537796	7.75E-01
 CD200 	0.105259	7.87E-02
 CD200R1 	0.0039269	7.36E-01
 CD200R1L 	-0.0055181	4.80E-01
 CD207 	0.0071598	8.71E-01
 CD209 	0.1090026	8.33E-02
 CD22 	-0.014173	4.20E-01
 CD226 	0.0194877	6.44E-01
 CD24 	0.2693403	1.99E-01
 CD244 	-0.0062905	5.62E-01
 CD247 	-0.0100199	8.75E-01
 CD248 	0.7101802	4.97E-11
 CD27 	-0.3757166	7.02E-02
 CD274 	0.1147788	1.78E-01
 CD276 	0.3739949	4.64E-06
 CD28 	0.0437758	3.22E-01
 CD2AP 	0.6747934	1.22E-04
 CD2BP2 	0.3050881	8.34E-04
 CD300A 	0.3135782	6.83E-05
 CD300C 	0.0725855	5.41E-02
 CD300E 	-0.0289578	5.16E-01
 CD300LB 	-0.0112863	3.80E-01
 CD300LD 	-0.0060882	5.01E-01
 CD300LF 	0.080583	3.21E-04
 CD300LG 	-0.0276602	1.70E-02
 CD320 	-0.0128622	9.19E-01
 CD33 	0.041622	8.58E-02
 CD34 	0.3404732	3.42E-04
 CD36 	-0.2051035	3.31E-02
 CD37 	0.0808114	7.87E-01
 CD38 	-0.0669145	6.11E-01
 CD3D 	-0.0020074	9.95E-01
 CD3E 	-0.1317616	4.56E-01
 CD3EAP 	0.1271702	1.34E-06
 CD3G 	-0.0451211	7.63E-01
 CD4 	0.2768976	3.35E-03
 CD40 	0.0058807	9.46E-01
 CD40LG 	0.0063991	7.12E-01
 CD44 	1.182256	2.35E-05
 CD46 	0.4660002	6.89E-05
 CD47 	0.6447293	6.93E-05
 CD48 	-0.0233533	9.28E-01
 CD5 	-0.0739375	4.43E-01
 CD52 	0.3020452	3.51E-01
 CD53 	0.4163316	1.18E-01
 CD55 	1.5022082	9.61E-06
 CD58 	0.4639056	1.47E-05
 CD59 	0.0096344	9.67E-01
 CD5L 	0.0025212	9.15E-01
 CD6 	-0.0819177	1.59E-01
 CD63 	0.4405638	1.22E-04
 CD68 	1.3462446	3.69E-07
 CD69 	-0.2049537	1.64E-01
 CD7 	-0.1779978	1.82E-02
 CD70 	0.0110036	9.05E-01
 CD72 	0.0808159	8.63E-02
 CD74 	-0.1396523	6.59E-01
 CD79A 	-1.064835	1.13E-04
 CD79B 	-0.0600471	6.19E-01
 CD80 	0.0879122	5.50E-04
 CD81 	0.7857734	1.87E-08
 CD82 	0.362079	1.60E-02
 CD83 	0.2158712	7.03E-04
 CD84 	0.1135782	5.19E-02
 CD86 	0.1910436	1.13E-04
 CD8A 	-0.1692604	4.71E-03
 CD8B 	-0.0133412	3.37E-01
 CD9 	1.8230358	1.22E-11
 CD93 	0.2670994	9.40E-05
 CD96 	-0.045113	6.54E-01
 CD97 	0.7443587	1.31E-07
 CD99L2 	0.0291518	7.25E-01
 CDA 	0.5015026	3.18E-03
 CDADC1 	0.0953009	3.20E-02
 CDAN1 	0.0555297	1.29E-02
 CDC123 	1.0036287	2.08E-08
 CDC14A 	-0.1868721	1.44E-04
 CDC14B 	-0.0136995	4.50E-01
 CDC16 	0.2750177	2.33E-02
 CDC20 	1.4118981	7.78E-08
 CDC20B 	-0.0171316	1.43E-02
 CDC23 	0.3466874	1.15E-06
 CDC25A 	0.1573892	4.76E-03
 CDC25B 	1.0577288	3.26E-08
 CDC25C 	0.3860812	6.73E-06
 CDC26 	0.1389726	1.23E-01
 CDC27 	0.4149266	4.92E-07
 CDC34 	0.1968507	2.91E-02
 CDC37 	0.5534831	2.97E-08
 CDC37L1 	0.0213171	8.17E-01
 CDC40 	0.2795023	6.19E-06
 CDC42 	0.1688506	9.17E-03
 CDC42BPA 	0.2053306	1.16E-01
 CDC42BPB 	0.2797188	2.20E-03
 CDC42BPG 	-0.1455967	3.71E-04
 CDC42EP1 	-0.393994	3.58E-03
 CDC42EP2 	0.2204228	1.71E-05
 CDC42EP3 	-0.0117712	8.78E-01
 CDC42EP4 	0.127592	1.66E-02
 CDC42EP5 	0.3156572	5.67E-02
 CDC42SE1 	0.466959	1.47E-05
 CDC42SE2 	0.5437341	1.16E-04
 CDC45 	0.6308759	1.50E-07
 CDC5L 	0.687156	4.09E-05
 CDC6 	1.1089765	9.36E-08
 CDC7 	0.1760552	6.48E-06
 CDC73 	0.3425101	1.11E-05
 CDCA2 	0.3543704	1.40E-06
 CDCA3 	0.6543912	2.10E-07
 CDCA4 	0.6588814	1.65E-08
 CDCA5 	0.5336465	1.85E-08
 CDCA7 	1.0176792	7.33E-07
 CDCA7L 	0.1913944	1.68E-01
 CDCA8 	0.6016762	3.65E-07
 CDCP1 	0.4931977	2.01E-04
 CDH1 	0.2720874	3.58E-02
 CDH10 	-0.0020719	7.71E-01
 CDH11 	0.8142961	3.33E-07
 CDH12 	0.0157177	5.00E-01
 CDH13 	0.2067605	4.93E-04
 CDH15 	-0.0353282	8.37E-03
 CDH16 	-0.0038963	8.67E-01
 CDH17 	1.5083654	8.21E-03
 CDH18 	-0.0076276	2.17E-01
 CDH19 	-0.0093598	5.24E-01
 CDH2 	-0.4295135	3.18E-02
 CDH20 	-0.0159876	3.94E-02
 CDH22 	-0.1165138	2.78E-06
 CDH23 	-0.0218589	4.31E-02
 CDH24 	0.0602153	8.02E-03
 CDH26 	-0.0131954	1.81E-01
 CDH3 	0.6944349	1.17E-06
 CDH4 	-0.0499647	2.80E-03
 CDH5 	0.0980162	3.71E-02
 CDH6 	0.1595525	2.48E-04
 CDH7 	-0.0090623	1.35E-01
 CDH8 	0.0054346	6.04E-01
 CDH9 	0.020899	5.07E-01
 CDHR1 	0.0088408	8.23E-01
 CDHR2 	-0.0601405	8.32E-01
 CDHR3 	-0.1168473	1.27E-03
 CDHR4 	-0.0503557	2.22E-02
 CDHR5 	0.3201795	1.85E-01
 CDIPT 	0.2382766	3.64E-02
 CDK1 	0.804703	1.27E-06
 CDK10 	0.2277313	6.85E-03
 CDK11A 	-0.1523989	4.03E-03
 CDK12 	0.582959	1.82E-03
 CDK13 	0.2350372	2.63E-04
 CDK14 	-0.1638579	8.89E-02
 CDK15 	-0.0178806	4.24E-02
 CDK16 	0.4208986	5.31E-05
 CDK17 	0.1037368	2.11E-02
 CDK18 	-0.3682618	1.19E-04
 CDK19 	0.4062831	3.18E-06
 CDK2 	0.6178331	2.42E-08
 CDK20 	0.0231454	3.58E-01
 CDK2AP1 	0.5615835	1.80E-06
 CDK2AP2 	-0.0095852	8.97E-01
 CDK3 	0.002798	9.23E-01
 CDK4 	0.8083247	8.55E-08
 CDK5 	0.5905537	1.74E-08
 CDK5R1 	-0.0450959	8.23E-02
 CDK5R2 	-0.1343768	6.05E-05
 CDK5RAP1 	0.3917982	4.50E-08
 CDK5RAP2 	0.1449421	2.34E-03
 CDK5RAP3 	0.0419662	7.18E-01
 CDK6 	0.3288864	3.02E-02
 CDK7 	0.125249	1.97E-05
 CDK8 	0.4544393	1.89E-03
 CDK9 	0.269475	3.92E-04
 CDKAL1 	0.157148	6.82E-02
 CDKL1 	-0.0029104	7.13E-01
 CDKL2 	0.0005173	9.66E-01
 CDKL3 	0.0011897	8.83E-01
 CDKL5 	0.084949	4.33E-02
 CDKN1A 	0.1162578	4.07E-01
 CDKN1B 	0.2295742	3.35E-02
 CDKN1C 	-0.2300732	2.41E-05
 CDKN2A 	0.1299515	1.08E-02
 CDKN2AIP 	0.1731643	2.98E-02
 CDKN2AIPNL 	-0.0125401	7.15E-01
 CDKN2B 	-0.0347578	4.98E-01
 CDKN2C 	0.048233	2.72E-01
 CDKN2D 	0.0260992	6.85E-01
 CDKN3 	1.2895428	8.30E-08
 CDO1 	0.042819	7.75E-02
 CDON 	0.064129	2.60E-02
 CDR1 	0.0147604	5.07E-01
 CDR2L 	0.223995	4.08E-04
 CDRT1 	0.0355126	1.01E-01
 CDRT4 	0.0209875	5.09E-01
 CDS1 	0.1289765	1.65E-01
 CDS2 	0.4536172	3.68E-08
 CDSN 	0.0385954	6.15E-01
 CDT1 	0.2124632	2.22E-04
 CDV3 	0.2980647	7.41E-03
 CDX1 	0.5979972	4.15E-03
 CDX2 	0.4543851	1.59E-03
 CDX4 	-0.0339539	3.99E-03
 CDYL 	0.1409014	3.49E-04
 CDYL2 	-0.0278052	5.87E-01
 CEACAM1 	0.4457197	8.35E-03
 CEACAM19 	-0.0058208	8.67E-01
 CEACAM20 	-0.0011579	9.95E-01
 CEACAM21 	-0.0119074	4.70E-01
 CEACAM3 	-0.1518455	2.50E-03
 CEACAM4 	0.0147995	3.22E-01
 CEACAM5 	1.6746086	3.71E-03
 CEACAM6 	2.0128224	3.03E-04
 CEACAM7 	0.7548942	2.89E-02
 CEACAM8 	0.0256988	5.97E-03
 CEBPA 	0.3544904	3.78E-03
 CEBPB 	0.394288	1.39E-06
 CEBPD 	0.0668067	6.15E-01
 CEBPE 	-0.064143	4.54E-03
 CEBPG 	0.6109528	1.40E-06
 CEBPZ 	0.6142798	6.20E-05
 CECR1 	0.1352723	3.05E-01
 CECR2 	-0.0255527	1.96E-03
 CECR5 	0.3030776	3.31E-05
 CECR6 	-0.0675114	2.11E-02
 CEL 	0.2388751	2.08E-01
 CELA1 	-0.0186915	5.40E-02
 CELA2A 	-0.0896085	1.69E-03
 CELA2B 	-0.105824	2.33E-06
 CELA3A 	-0.5128343	1.41E-03
 CELA3B 	-0.4555562	6.20E-03
 CELF1 	0.5739428	4.29E-11
 CELF2 	-0.0028232	9.74E-01
 CELF3 	-0.0919404	7.48E-06
 CELF4 	-0.0413347	1.93E-02
 CELF5 	-0.0391287	5.49E-03
 CELF6 	-0.0479361	3.90E-02
 CELP 	0.0860574	5.21E-01
 CELSR1 	-0.0313848	5.42E-01
 CELSR2 	-0.0254716	4.76E-01
 CELSR3 	0.0791775	3.55E-02
 CEMP1 	0.0176396	5.73E-01
 CEND1 	-0.075323	3.34E-02
 CENPA 	0.5548028	5.08E-07
 CENPB 	0.250127	1.69E-05
 CENPBD1 	0.1198082	1.09E-02
 CENPC1 	-0.0561568	5.67E-01
 CENPE 	0.1147058	2.22E-05
 CENPF 	0.7722498	1.80E-08
 CENPH 	0.1465157	1.83E-03
 CENPI 	0.3576172	7.34E-06
 CENPJ 	0.4379918	1.96E-06
 CENPK 	0.4363797	2.78E-06
 CENPL 	0.1952586	1.33E-07
 CENPM 	0.7132874	5.66E-06
 CENPN 	0.0693146	9.94E-02
 CENPO 	0.3883184	1.42E-07
 CENPP 	0.2629767	7.08E-07
 CENPQ 	0.1199658	2.98E-04
 CENPT 	0.0499588	3.43E-01
 CENPV 	0.5186401	4.92E-04
 CEP110 	0.0465397	1.64E-01
 CEP120 	0.0777159	7.56E-03
 CEP135 	0.081637	4.06E-06
 CEP164 	0.0638246	1.04E-02
 CEP170 	0.5636372	5.07E-07
 CEP192 	0.2729226	3.25E-03
 CEP250 	0.1307708	4.25E-05
 CEP290 	0.0205536	1.09E-01
 CEP350 	0.091394	1.31E-01
 CEP55 	0.5802195	2.14E-06
 CEP57 	0.2511684	1.00E-03
 CEP57L1 	0.0722562	2.81E-05
 CEP63 	0.1107174	4.30E-02
 CEP68 	-0.0223778	7.00E-01
 CEP70 	0.2159938	5.74E-02
 CEP72 	0.2834884	2.55E-07
 CEP76 	0.1438626	1.39E-04
 CEP97 	0.1499593	5.08E-05
 CEPT1 	0.2540397	1.04E-02
 CER1 	-0.0126965	3.77E-01
 CERCAM 	0.1880383	1.11E-02
 CERK 	0.0999933	1.15E-01
 CERKL 	0.1045296	3.99E-02
 CES2 	0.7744384	3.33E-02
 CES3 	-0.1404816	5.13E-01
 CES4A 	0.0337729	2.40E-01
 CES5A 	-0.0001398	9.91E-01
 CETN1 	0.0091158	3.47E-01
 CETN2 	0.8569627	1.36E-08
 CETN3 	0.2064177	3.14E-03
 CETP 	0.0036605	8.26E-01
 CFB 	0.0790898	7.94E-01
 CFD 	0.0968646	7.12E-01
 CFDP1 	0.2432932	2.69E-03
 CFH 	0.3536912	1.09E-01
 CFHR2 	-0.0199534	9.44E-02
 CFHR3 	0.0103126	3.69E-01
 CFHR4 	0.0001309	9.90E-01
 CFHR5 	-0.0044816	4.69E-01
 CFI 	-0.0121854	9.55E-01
 CFL1 	0.8438846	5.70E-07
 CFL2 	0.0225792	7.99E-01
 CFLAR 	0.266656	8.46E-03
 CFLP1 	0.0019202	8.32E-01
 CFP 	-0.0623784	7.10E-04
 CFTR 	0.7290576	1.34E-03
 CGA 	-0.1360981	1.37E-01
 CGGBP1 	0.2518885	3.37E-03
 CGN 	0.433919	4.61E-04
 CGNL1 	-0.6704441	4.32E-07
 CGREF1 	0.1072315	3.07E-01
 CGRRF1 	0.0466141	1.89E-01
 CH25H 	0.1582087	3.06E-02
 CHAC1 	-0.1219299	2.24E-01
 CHAC2 	0.0569233	2.24E-01
 CHAD 	-0.2995756	5.68E-07
 CHAF1A 	0.3382434	1.78E-06
 CHAF1B 	0.2951336	8.61E-05
 CHAT 	-0.0295103	4.46E-03
 CHCHD1 	0.5264364	4.94E-03
 CHCHD10 	-0.1485647	2.75E-01
 CHCHD2 	0.4848522	8.89E-09
 CHCHD3 	0.7373858	6.52E-07
 CHCHD4 	0.0875745	6.32E-02
 CHCHD5 	0.1038862	1.84E-01
 CHCHD6 	0.1878651	1.23E-03
 CHCHD7 	0.7076231	1.01E-07
 CHCHD8 	0.590267	3.59E-08
 CHD1 	0.3198376	6.90E-04
 CHD1L 	0.429933	1.67E-04
 CHD2 	0.082569	2.54E-01
 CHD3 	-0.0032275	9.74E-01
 CHD4 	0.3315479	2.12E-06
 CHD5 	-0.018142	3.81E-01
 CHD6 	0.1167382	1.17E-01
 CHD9 	-0.0796789	1.73E-01
 CHDH 	0.263091	5.96E-04
 CHEK1 	0.8124702	1.02E-06
 CHEK2 	0.1067739	3.41E-06
 CHERP 	0.3279356	5.82E-09
 CHFR 	0.0050804	9.52E-01
 CHGA 	-1.8052993	4.40E-12
 CHGB 	-0.3329444	8.52E-04
 CHI3L1 	0.4100284	4.46E-03
 CHI3L2 	0.0163078	8.73E-01
 CHIA 	-2.4774809	6.48E-06
 CHIC2 	0.1828068	5.97E-03
 CHID1 	0.1327593	6.67E-02
 CHIT1 	0.2419338	1.04E-01
 CHKA 	-0.0022235	9.85E-01
 CHKB-CPT1B 	0.0125549	8.79E-01
 CHL1 	0.000749	9.81E-01
 CHM 	0.1302632	3.20E-04
 CHML 	0.2661147	1.72E-05
 CHMP1A 	0.4125233	5.49E-05
 CHMP1B 	0.5580246	2.02E-05
 CHMP2A 	0.3936655	4.48E-03
 CHMP2B 	0.8676658	3.74E-07
 CHMP4A 	0.3538176	2.73E-03
 CHMP4B 	0.8105046	1.79E-07
 CHMP4C 	0.587288	4.90E-06
 CHMP5 	0.6086336	6.96E-04
 CHMP6 	0.0954061	1.17E-01
 CHMP7 	0.2082048	1.30E-03
 CHN1 	0.2783945	2.12E-04
 CHN2 	0.2051511	5.57E-02
 CHODL 	-0.01354	1.25E-01
 CHORDC1 	0.2475336	2.47E-05
 CHP 	-0.392419	7.01E-04
 CHP2 	-0.0356876	8.14E-01
 CHPF 	0.0219138	7.59E-01
 CHPF2 	0.2770083	1.46E-03
 CHPT1 	-0.1869128	2.20E-01
 CHRAC1 	0.2792028	1.33E-06
 CHRD 	-0.0577881	9.15E-02
 CHRDL1 	0.2799879	2.34E-02
 CHRDL2 	0.1948386	7.61E-02
 CHRFAM7A 	-0.2358673	2.60E-03
 CHRM1 	-0.0242725	3.10E-01
 CHRM2 	-0.0060567	8.33E-01
 CHRM3 	-0.24333	1.43E-02
 CHRM4 	-0.0504532	2.17E-01
 CHRM5 	-0.0138746	3.28E-01
 CHRNA1 	0.0252938	1.27E-01
 CHRNA10 	-0.0031775	8.75E-01
 CHRNA2 	-0.0421604	4.26E-04
 CHRNA3 	-0.0104401	4.11E-01
 CHRNA4 	-0.0326982	8.49E-03
 CHRNA5 	0.2944984	3.71E-04
 CHRNA6 	-0.0027589	7.20E-01
 CHRNA7 	-0.3768819	1.35E-05
 CHRNA9 	-0.0277851	6.90E-03
 CHRNB1 	0.1083984	8.12E-02
 CHRNB2 	-0.0058078	6.73E-01
 CHRNB3 	-0.0048783	5.86E-01
 CHRNB4 	0.0145488	4.27E-01
 CHRND 	-0.008663	4.80E-01
 CHRNE 	-0.0343238	1.92E-02
 CHRNG 	-0.1056575	2.38E-04
 CHST1 	0.136847	2.37E-05
 CHST10 	-0.0476684	2.50E-01
 CHST11 	-0.1478466	7.35E-02
 CHST12 	-0.2316708	5.12E-04
 CHST13 	-0.0686635	1.68E-01
 CHST14 	-0.1484165	2.47E-02
 CHST2 	-0.0951364	2.76E-03
 CHST3 	-0.2553708	9.81E-05
 CHST4 	0.0949369	3.42E-02
 CHST6 	-0.0125818	5.56E-01
 CHST7 	-0.0651056	9.48E-03
 CHST8 	-0.0384429	2.27E-02
 CHST9 	0.0611972	3.50E-01
 CHSY1 	0.117084	4.99E-02
 CHSY3 	0.0907005	1.37E-02
 CHTF18 	0.1640436	8.70E-04
 CHTF8 	0.2235097	1.46E-03
 CHUK 	0.3197012	3.33E-05
 CHURC1 	0.4941265	2.45E-04
 CIAO1 	0.3980098	8.17E-07
 CIAPIN1 	0.1163498	9.19E-03
 CIB1 	0.8303176	1.05E-05
 CIB2 	0.2776994	2.21E-02
 CIB3 	-0.0580247	2.51E-04
 CIC 	0.0238994	6.06E-01
 CIDEA 	-0.0498188	3.37E-03
 CIDEB 	0.0466257	6.69E-01
 CIDEC 	-0.0880965	3.31E-01
 CIDECP 	0.0326705	9.52E-02
 CIITA 	0.0439459	6.78E-01
 CILP 	0.0507687	2.10E-01
 CILP2 	-0.0505051	5.06E-02
 CINP 	0.1469156	7.29E-02
 CIR1 	0.2155123	7.54E-03
 CIRBP 	-0.9307756	3.21E-06
 CIRH1A 	0.8324418	1.57E-08
 CISD1 	0.6325646	1.92E-03
 CISD2 	0.4549562	1.39E-03
 CISH 	0.0043368	9.12E-01
 CIT 	0.2283085	3.31E-05
 CITED1 	0.0892848	2.78E-01
 CITED2 	-0.5009605	1.37E-06
 CITED4 	-0.1330523	4.14E-02
 CIZ1 	0.1980311	2.68E-02
 CKAP2 	1.1416516	9.56E-09
 CKAP2L 	0.222555	1.29E-07
 CKAP4 	-0.2757878	3.37E-03
 CKAP5 	0.8397837	2.10E-09
 CKB 	-1.7629626	1.29E-05
 CKLF 	1.4251172	5.33E-11
 CKM 	-0.6539646	1.29E-06
 CKMT2 	-0.9200728	6.69E-08
 CKS2 	1.9393147	8.98E-12
 CLASP1 	0.2018734	9.13E-03
 CLASP2 	0.2390448	5.68E-04
 CLASRP 	-0.0304199	5.28E-01
 CLC 	-0.0190149	4.98E-01
 CLCA1 	-1.0661349	3.16E-02
 CLCA2 	-0.0048805	3.49E-01
 CLCA3P 	-0.0042498	4.43E-01
 CLCA4 	0.0248645	5.61E-01
 CLCC1 	-0.0145198	8.93E-01
 CLCF1 	0.0965009	3.26E-02
 CLCN1 	-0.0274929	1.95E-02
 CLCN2 	0.3017007	2.83E-05
 CLCN3 	0.1404583	1.18E-01
 CLCN4 	0.1992976	1.28E-02
 CLCN5 	0.4893296	3.47E-04
 CLCN6 	0.1961031	6.22E-03
 CLCN7 	0.2630969	3.14E-04
 CLCNKA 	-0.3576503	1.72E-07
 CLCNKB 	-0.1209374	2.04E-04
 CLDN1 	2.3676508	3.21E-12
 CLDN10 	-0.0135149	5.61E-01
 CLDN11 	0.1508	2.21E-01
 CLDN12 	0.7842639	7.22E-07
 CLDN14 	-0.0171501	3.67E-01
 CLDN15 	0.2652941	3.33E-01
 CLDN16 	0.0244999	4.68E-02
 CLDN17 	0.0027786	7.28E-01
 CLDN18 	-1.4742311	1.13E-03
 CLDN19 	-0.0275105	4.62E-01
 CLDN2 	0.1007385	6.04E-02
 CLDN20 	-0.0109554	2.98E-01
 CLDN23 	0.0525521	7.04E-01
 CLDN3 	1.7299648	7.27E-08
 CLDN4 	3.1449126	5.96E-13
 CLDN5 	-0.1912091	4.42E-03
 CLDN6 	0.1891524	3.13E-01
 CLDN7 	2.9052522	4.67E-10
 CLDN8 	-0.0000555	9.97E-01
 CLDN9 	0.0152848	5.39E-01
 CLDND1 	0.4491455	6.40E-05
 CLDND2 	0.0606594	2.94E-01
 CLEC10A 	0.0194087	6.70E-01
 CLEC11A 	0.1685676	2.77E-03
 CLEC12A 	0.0165076	2.63E-01
 CLEC12B 	-0.0103509	1.26E-01
 CLEC14A 	-0.0086511	8.94E-01
 CLEC17A 	-0.003715	8.53E-01
 CLEC18C 	-0.3002695	1.94E-04
 CLEC1A 	-0.0033391	7.91E-01
 CLEC1B 	-0.008337	2.18E-01
 CLEC2A 	-0.0171	3.67E-02
 CLEC2B 	0.1665348	5.87E-02
 CLEC2D 	0.0160266	8.75E-01
 CLEC3A 	-0.0221153	2.28E-03
 CLEC3B 	-0.194786	1.45E-01
 CLEC4A 	0.1704731	1.73E-04
 CLEC4C 	-0.02578	5.53E-02
 CLEC4D 	-0.0133712	1.44E-01
 CLEC4E 	0.0569864	3.60E-02
 CLEC4F 	-0.0340087	3.25E-02
 CLEC4G 	-0.0679869	9.67E-03
 CLEC4M 	-0.0020051	9.06E-01
 CLEC5A 	0.0683416	5.62E-03
 CLEC6A 	0.0176108	1.40E-01
 CLEC7A 	0.0834086	1.41E-03
 CLEC9A 	-0.002681	8.51E-01
 CLECL1 	-0.0128897	5.83E-01
 CLGN 	-0.0087466	1.80E-01
 CLIC1 	1.1195419	1.20E-08
 CLIC2 	0.1386225	2.35E-02
 CLIC3 	0.0496686	7.51E-01
